,countriesAndTerritories,cases,deaths,dateRep,popData2019
106,Afghanistan,3,0,30/08/2020,38041757.0
107,Afghanistan,11,1,29/08/2020,38041757.0
108,Afghanistan,3,0,28/08/2020,38041757.0
109,Afghanistan,55,4,27/08/2020,38041757.0
110,Afghanistan,1,0,26/08/2020,38041757.0
111,Afghanistan,71,10,25/08/2020,38041757.0
112,Afghanistan,0,0,24/08/2020,38041757.0
113,Afghanistan,105,2,23/08/2020,38041757.0
114,Afghanistan,38,0,22/08/2020,38041757.0
115,Afghanistan,97,2,21/08/2020,38041757.0
116,Afghanistan,160,8,20/08/2020,38041757.0
117,Afghanistan,0,0,19/08/2020,38041757.0
118,Afghanistan,3,0,18/08/2020,38041757.0
119,Afghanistan,45,5,17/08/2020,38041757.0
120,Afghanistan,120,7,16/08/2020,38041757.0
121,Afghanistan,7,0,15/08/2020,38041757.0
122,Afghanistan,79,9,14/08/2020,38041757.0
123,Afghanistan,76,10,13/08/2020,38041757.0
124,Afghanistan,215,32,12/08/2020,38041757.0
125,Afghanistan,0,0,11/08/2020,38041757.0
126,Afghanistan,0,0,10/08/2020,38041757.0
127,Afghanistan,39,5,09/08/2020,38041757.0
128,Afghanistan,78,9,08/08/2020,38041757.0
129,Afghanistan,41,0,07/08/2020,38041757.0
130,Afghanistan,67,4,06/08/2020,38041757.0
131,Afghanistan,82,6,05/08/2020,38041757.0
132,Afghanistan,37,4,04/08/2020,38041757.0
133,Afghanistan,0,1,03/08/2020,38041757.0
134,Afghanistan,0,0,02/08/2020,38041757.0
135,Afghanistan,168,12,01/08/2020,38041757.0
136,Afghanistan,71,0,31/07/2020,38041757.0
137,Afghanistan,0,0,30/07/2020,38041757.0
138,Afghanistan,103,1,29/07/2020,38041757.0
139,Afghanistan,105,1,28/07/2020,38041757.0
140,Afghanistan,106,10,27/07/2020,38041757.0
141,Afghanistan,121,13,26/07/2020,38041757.0
142,Afghanistan,108,35,25/07/2020,38041757.0
143,Afghanistan,13,0,24/07/2020,38041757.0
144,Afghanistan,188,21,23/07/2020,38041757.0
145,Afghanistan,112,4,22/07/2020,38041757.0
146,Afghanistan,140,5,21/07/2020,38041757.0
147,Afghanistan,174,17,20/07/2020,38041757.0
148,Afghanistan,12,17,19/07/2020,38041757.0
149,Afghanistan,219,32,18/07/2020,38041757.0
150,Afghanistan,76,21,17/07/2020,38041757.0
151,Afghanistan,254,49,16/07/2020,38041757.0
152,Afghanistan,285,33,15/07/2020,38041757.0
153,Afghanistan,4,2,14/07/2020,38041757.0
154,Afghanistan,0,0,13/07/2020,38041757.0
155,Afghanistan,85,16,12/07/2020,38041757.0
156,Afghanistan,458,37,11/07/2020,38041757.0
157,Afghanistan,255,20,10/07/2020,38041757.0
158,Afghanistan,59,1,09/07/2020,38041757.0
159,Afghanistan,210,16,08/07/2020,38041757.0
160,Afghanistan,433,56,07/07/2020,38041757.0
161,Afghanistan,279,38,06/07/2020,38041757.0
162,Afghanistan,348,7,05/07/2020,38041757.0
163,Afghanistan,302,12,04/07/2020,38041757.0
164,Afghanistan,186,33,03/07/2020,38041757.0
165,Afghanistan,319,28,02/07/2020,38041757.0
166,Afghanistan,279,13,01/07/2020,38041757.0
167,Afghanistan,271,12,30/06/2020,38041757.0
168,Afghanistan,351,18,29/06/2020,38041757.0
169,Afghanistan,165,20,28/06/2020,38041757.0
170,Afghanistan,276,8,27/06/2020,38041757.0
171,Afghanistan,460,36,26/06/2020,38041757.0
172,Afghanistan,234,21,25/06/2020,38041757.0
173,Afghanistan,338,20,24/06/2020,38041757.0
174,Afghanistan,310,17,23/06/2020,38041757.0
175,Afghanistan,409,12,22/06/2020,38041757.0
176,Afghanistan,546,21,21/06/2020,38041757.0
177,Afghanistan,346,2,20/06/2020,38041757.0
178,Afghanistan,658,42,19/06/2020,38041757.0
179,Afghanistan,564,13,18/06/2020,38041757.0
180,Afghanistan,783,13,17/06/2020,38041757.0
181,Afghanistan,761,7,16/06/2020,38041757.0
182,Afghanistan,664,20,15/06/2020,38041757.0
183,Afghanistan,556,5,14/06/2020,38041757.0
184,Afghanistan,656,20,13/06/2020,38041757.0
185,Afghanistan,747,21,12/06/2020,38041757.0
186,Afghanistan,684,21,11/06/2020,38041757.0
187,Afghanistan,542,15,10/06/2020,38041757.0
188,Afghanistan,575,12,09/06/2020,38041757.0
189,Afghanistan,791,30,08/06/2020,38041757.0
190,Afghanistan,582,18,07/06/2020,38041757.0
191,Afghanistan,915,9,06/06/2020,38041757.0
192,Afghanistan,787,6,05/06/2020,38041757.0
193,Afghanistan,758,24,04/06/2020,38041757.0
194,Afghanistan,759,5,03/06/2020,38041757.0
195,Afghanistan,545,8,02/06/2020,38041757.0
196,Afghanistan,680,8,01/06/2020,38041757.0
197,Afghanistan,866,3,31/05/2020,38041757.0
198,Afghanistan,623,11,30/05/2020,38041757.0
199,Afghanistan,580,8,29/05/2020,38041757.0
200,Afghanistan,625,7,28/05/2020,38041757.0
201,Afghanistan,658,1,27/05/2020,38041757.0
202,Afghanistan,591,1,26/05/2020,38041757.0
203,Afghanistan,584,2,25/05/2020,38041757.0
204,Afghanistan,782,11,24/05/2020,38041757.0
205,Afghanistan,540,12,23/05/2020,38041757.0
